Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
127;192,775;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,522745;0,3453074;;117;0,8680527
128;193,2719;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,74815;0,4686355;;100;0,216785
129;193,6762;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,411244;0,2021354;;83;-1,386621
130;194,0022;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,092627;0,2400268;;133;-0,667346
131;194,428;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,72286;0,2285277;;150;-0,04861248
132;194,968;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,333747;0,6660773;;134;2,999825
133;195,4861;;-1 + -1 + -1 + ;4,467522;0,5216703;;133;1,989192
134;196,026;;-1 + -1 + -1 + ;2,715035;0,3726847;;83;0,08771992
135;196,38;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,646853;0,3265494;;84;0,9734032
136;196,7057;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,356564;0,1841494;;150;-4,172415
137;197,292;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,731642;0,2202061;;100;-2,048152
138;197,7005;;-1 + ;3,10593;0,4262666;;133;2,532197
139;198,1483;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,391431;0,7207654;;167;4,112196
140;198,707;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,33272;0,2912063;;100;0,6239262
141;199,156;;-1 + -1 + -1 + -1 + -1 + -1 + ;6,051589;0,6480707;;150;3,69966
142;199,6849;;-1 + -1 + -1 + -1 + ;1,975625;0,2504566;;83;-1,773918
